Canadian National Railway	Canada
General Electric	United States
Hyundai Mobis	South Korea
Erste Group Bank	Austria
Swiss Life Holding	Switzerland
ASML Holding	Netherlands
Komatsu	Japan
Suzuki Motor	Japan
TJX Cos	United States
Power Corp of Canada	Canada
Southwest Airlines	United States
Telstra	Australia
ICICI Bank	India
Freeport-McMoRan	United States
Texas Instruments	United States
Sompo	Japan
Principal Financial Group	United States
OMV Group	Austria
Shin-Etsu Chemical	Japan
Anhui Conch Cement	China
Hartford Financial Services	United States
SingTel	Singapore
CVS Health	United States
Marriott International	United States
AmerisourceBergen	United States
Deutsche Lufthansa	Germany
Tokyo Electric Power	Japan
Standard Bank Group	South Africa
Fosun International	China
SEB AB	Sweden
Naspers	South Africa
Kweichow Moutai	China
National Commercial Bank	Saudi Arabia
Bank Of Jiangsu	China
Biogen	United States
Suning.com	China
Bouygues	France
Wilmar International	Singapore
Xiaomi	China
Magna International	Canada
International Airlines	United Kingdom
Femsa	Mexico
Adidas	Germany
Netflix	United States
Philips	Netherlands
Sumitomo Mitsui Trust	Japan
China Yangtze Power	China
Applied Materials	United States
Paccar	United States
Sysco	United States
Larsen & Toubro	India
Emerson Electric	United States
Samsung C&T	South Korea
International Paper	United States
Halliburton	United States
China Cinda Asset Management	China
Daikin Industries	Japan
FirstRand	South Africa
Salesforce.com	United States
KIA Motors	South Korea
CK Asset Holdings	Hong Kong
Consolidated Edison	United States
Svenska Handelsbanken	Sweden
Swire Pacific	Hong Kong
General Mills	United States
CTBC Financial	Taiwan
SK Innovation	South Korea
Pernod Ricard	France
Citic Securities	China
New World Development	Hong Kong
Waste Management	United States
Sempra Energy	United States
Aegon	Netherlands
State Bank of India	India
American International Group	United States
Toyota Industries	Japan
Vodafone	United Kingdom
Sampo	Finland
Subaru	Japan
IntercontinentalExchange	United States
LG Chem	South Korea
Fifth Third Bank	United States
Dell Technologies	United States
SK Telecom	South Korea
VTB Bank	Russia
Banorte	Mexico
Swiss Re	Switzerland
Mitsubishi Chemical	Japan
Centene	United States
BAE Systems	United States
Hana Financial Group	South Korea
Fast Retailing	Japan
CNH Industrial	United Kingdom
Bank Mandiri	Indonesia
HeidelbergCement	Germany
Hewlett Packard Enterprise	United States
Talanx	Germany
Cummins	United States
Orsted	Denmark
WPP	United Kingdom
Marsh & McLennan	United States
Grupo ACS	Spain
Xcel Energy	United States
Las Vegas Sands	United States
NTPC	India
China Zheshang Bank	China
Commerzbank	Germany
Toyota Tsusho	Japan
Lennar	United States
Swedbank	Sweden
Compass Group	United Kingdom
Woolworths	Australia
Novatek	Russia
National Bank of Canada	Canada
LG Electronics	South Korea
Thales	France
Public Service Enterprise Group	United States
Adobe	United States
China Taiping Insurance	Hong Kong
TE Connectivity	Switzerland
Mitsubishi Estate	Japan
Metallurgical Corp of China	China
Emirates NBD	United Arab Emirates
Kansai Electric Power	Japan
Ecolab	United States
DXC Technology	United States
M&T Bank	United States
Fujitsu	Japan
Constellation Brands	United States
Wesfarmers	Australia
CLP Holdings	Hong Kong
Al Rajhi Bank	Saudi Arabia
Asahi Group Holdings	Japan
Illinois Tool Works	United States
Fujifilm Holdings	Japan
Saint-Gobain	France
Cognizant	United States
Tatneft	Russia
DTE Energy	United States
KeyCorp	United States
Recruit Holdings	Japan
NVIDIA	United States
Sasol	South Africa
JFE Holdings	Japan
Bank of Ningbo	China
eBay	United States
Mitsubishi Heavy Industries	Japan
Citizens Financial Group	United States
Weichai Power	China
Nucor	United States
Sherwin-Williams	United States
Formosa Petrochemical	Taiwan
Ally Financial	United States
Murata Manufacturing	Japan
Northern Trust	United States
American Tower	United States
China Fortune Land Development	China
CME Group	United States
Samsung Fire & Marine	South Korea
Deutsche Bank	Germany
Kraft Heinz Company	United States
Qingdao Haier	China
Associated British Foods	United Kingdom
MTR	Hong Kong
Tata Steel	India
Bank Central Asia	Indonesia
Bank of Nanjing	China
Telenor	Norway
Colgate-Palmolive	United States
Boston Scientific	United States
Kimberly-Clark	United States
China National Building	China
CBS	United States
Dollar General	United States
DISH Network	United States
Keurig Dr Pepper	United States
Kubota	Japan
Rakuten	Japan
Merck	United States
Rogers Communications	Canada
PPL	United States
Aisin Seiki	Japan
Aroundtown	Luxembourg
Aon	United Kingdom
Sinopharm Group	China
Royal Caribbean Cruises	United States
Norilsk Nickel	Russia
Woori Financial Group	South Korea
Kirin Holdings	Japan
NXP Semiconductors	Netherlands
Saudi Electricity	Saudi Arabia
Swisscom	Switzerland
McKesson	United States
Nidec	Japan
Omnicom Group	United States
Coal India	India
RELX	United Kingdom
Ingersoll Rand	Ireland
FirstEnergy	United States
Anadarko Petroleum	United States
Korea Electric Power	South Korea
Regions Financial	United States
Simon Property Group	United States
Corning	United States
The Estée Lauder Companies	United States
Henderson Land	Hong Kong
Grupo Mexico	Mexico
Allergan	Ireland
H&M - Hennes & Mauritz	Sweden
Loews	United States
VMware	United States
Best Buy	United States
First Data	United States
Air Products & Chemicals	United States
Astellas Pharma	Japan
Asahi Kasei	Japan
Entergy	United States
Ageas	Belgium
PPG	United States
Shimao Property Holdings	Hong Kong
Sumitomo Electric	Japan
